 Processo ; Contramarca ; Navio ; IMO ; ATD ; ATA ; Bandeira ; Tipo Navio ; Agente Navegacao ; Porto Seguinte ; Porto Procedente ; Motivo Escala ; Local Atribuido ; Morada Agente ; Telefone Agente ; Email Agente ; Indicativo Chamada ; GT ; TAL ; Comprimento ; Calado Maximo ; Porto Registo ; Armador ; Nome Anterior ; Tipo ; TAB ; DWT ; Boca Sinal ; Velocidade Maxima ; Tipo Trafego ; Certificado Verde ; Data Construcao ; Capacidade Teus 
 LIS201502676 ;" """"04012015002680"""" "; X-PRESS MULHACEN ;9365960; 2016-01-04 17:17 ; 2015-12-30 05:27 ; Malta ; Porta-contentores ; GARLAND NAVEGACAO,LDA. ; ALGECIRAS ; ALGECIRAS ; 14 - CARGA/DESCARGA ; 110 - TERM CONTENT ALCANTARA /  LISCONT ; Estrada Manuel Correia Lopes nº 682 ; +351 21 444 81 70 ; ops.lis@garland.pt ; 9HA3465 ;7702;0; 141.61 ; 6.9 ; MTMLA ; NORBULK SHIPPING PTE LTD ;;310;0;9620; 20.6 ;0;1; CS ; 2006-01-01 00:00:00.0 ;806
 LIS201502702 ;" """"04012015002706"""" "; PAULA C ;9373553; 2016-01-04 19:35 ; 2015-12-31 19:27 ; Reino Unido ; Carga Geral single deck ; WILHELMSEN SHIPS SERVICE PORTUGAL, S.A. ; AVEIRO ; LOWESTOFT ; 18 - DESCARGA ; 305 - TERM GRANEIS SILOPOR/BEATO ; R.FRADESSO DA SILVEIRA, 2 - 2ºA ; 213 210 900 ; wss.lisbon@wilhelmsen.com ; 2AHU2 ;2990;0; 89.8 ;6; GBCOW ; CARISBROOKE SHIPPING 636 LTD ;;335;0;5000; 14.5 ;0;1; ISP ; Mon Mar 10 00:00:00 GMT 2008 ;0
 LIS201502721 ;" """"04012015002725"""" "; BARBARICA ;9383443; 2016-01-04 22:29 ; 2016-01-02 18:45 ; Italia ; Tanque não discriminado ; MARMEDSA - AGENCIA MARITIMA, LDA ; SANTANDER ; HUELVA ; 18 - DESCARGA ; 710 - TERM GRANEIS ALKION/BARREIRO ; Av. D. João II - nº. 51 – Piso 2 – Sala C Edificio Art’s – Parque das Nações ;269869190; opsptlis@marmedsa.com ; ICCG ;12008;0; 148.1 ; 8.8 ; ITRAN ; SOC. MEDITERRANEA DI NAVIGAZIONE SPA ;;105;0;18818; 23.3 ;15;1; CS ; 2008-04-15 00:00:00.0 ;0
 LIS201502708 ;" """"04012015002712"""" "; FURNAS ;9164548; 2016-01-05 00:42 ; 2015-12-30 08:05 ; Portugal ; Porta-contentores ; BENSAUDE-AGENTES DE NAVEGACAO LDA ; PONTA DELGADA ; PONTA DELGADA ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; Praça Europa, nº2  Cais do Sodré ;3,51E+11; pedro.cardoso@bensaude.pt ; CSBK ;4450;0; 100.6 ; 6.8 ; PTPDL ; MUTUALISTA ACOREANA DE TRANSPORTES MARITIMOS,SA ;;310;2150;5555; 18.8 ;0;4; ISP ; Mon Mar 01 00:00:00 GMT 1999 ;275
 LIS201502616 ;" """"04012015002620"""" "; VERA D ;9290177; 2016-01-05 08:14 ; 2016-01-01 14:31 ; Portugal ; Carga Geral single deck ; VESSELMAR - AGENCIA NAVEGACAO LDA ; HALIFAX, NS ; VALENCIA ; 14 - CARGA/DESCARGA ; 110 - TERM CONTENT ALCANTARA /  LISCONT ;;;; CQID ;17188;0; 178.57 ; 8.5 ; PTZFM ; ASPERA SCHIFFAHRTSGESELLSCHAFT MBH & CO. KG ;;335;9038;22513; 27.64 ;21;1; ISP ; Fri Oct 01 00:00:00 GMT 2004 ;1678
 LIS201502713 ;" """"04012015002717"""" "; VENTURA ;9333175; 2016-01-05 19:01 ; 2016-01-05 07:54 ; Bermudas ; CRUZEIROS ; JAMES RAWES NAVEGACAO LDA ; ARRECIFE DE LANZAROTE ; SOUTHAMPTON ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; Av. 24 de Julho, 126 1º Esq ;213470231; operations@jamesrawes.pt ; ZCDT2 ;116017;0; 288.6 ; 8.5 ; BMBDA ; P&O CRUISES ;;361;85255;8044; 35.98 ;0;1; CA ; Sat Mar 01 00:00:00 GMT 2008 ;0
 LIS201600005 ;" """"04012016000005"""" "; ANDESGAS ;8813104; 2016-01-05 19:12 ; 2016-01-04 21:42 ; Panama ; Tanque Gás Liquefeito ; PINTO BASTO IV-SERVICOS MARITIMOS,LDA ; AVILES ; ANNABA (BONE) ; 50 - DESCARGA NAVIO TANQUE IMDG CLASSES 2, 6 OU 8 ; 710 - TERM GRANEIS ALKION/BARREIRO ; AV 24 DE JULHO 1-D ;269862598; agency.sines@pintobasto.com ; 3EOD5 ;11822;3792;158; 8.8 ; PAPTY ; Posavina Shipping Inc ;;103;11822;16263; 21.3 ;15;1; CS ; Tue Jan 01 00:00:00 GMT 1991 ;0
 LIS201502607 ;" """"04012015002611"""" "; LAGOA ;9150470; 2016-01-05 19:26 ; 2015-12-14 02:49 ; Cabo Verde ; Porta-contentores ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; LEIXOES ; SAL REI ; 14 - CARGA/DESCARGA ; 300 - CAIS DO POÇO DO BISPO / TMPB ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; D4HK ;3981;0; 100.6 ; 6.1 ; CVVXE ; TRANSINSULAR - TRANSPORTES MARITIMOS INSULARES , S A ;;310;1937;5003; 16.5 ;0;4; CS ; Wed Jan 01 00:00:00 GMT 1997 ;0
 LIS201502711 ;" """"04012015002715"""" "; EEMSHORN ;9393278; 2016-01-05 20:17 ; 2016-01-01 10:13 ; Holanda ; Graneleiro ; BENSAUDE-AGENTES DE NAVEGACAO LDA ; ALTO  MAR ; LEITH ; 18 - DESCARGA ; 305 - TERM GRANEIS SILOPOR/BEATO ; Praça Europa, nº2  Cais do Sodré ;3,51E+11; pedro.cardoso@bensaude.pt ; PHNY ;3990;0; 110.78 ; 6.09 ; NLDZL ; WAGENBORG SHIPPING BV ;;202;0;6000;14;0;1; C69 ; 2008-01-01 00:00:00.0 ;0
 LIS201502578 ;" """"04012015002582"""" "; SANTA GIULIANA ;9126481; 2016-01-05 22:04 ; 2016-01-04 11:22 ; Liberia ; Porta-contentores ; CMA CGM PORTUGAL - AGENTES DENAVEGAÇÃO, SA ; TANGER MED ; LEIXOES ; 14 - CARGA/DESCARGA ; 110 - TERM CONTENT ALCANTARA /  LISCONT ; Cais das Oficinas, Edificio 114, Rocha Conde d’Óbidos ;213256220; lca.jsantos@cma-cgm.com ; ELYR2 ;21531;0; 182.09 ; 7.2 ; LRMLW ; Santa Giuliana Offen Reederei ;;310;0;30095; 29.8 ;0;1; CS ; 1996-05-05 00:00:00.0 ;0
 LIS201502675 ;" """"04012015002679"""" "; X-PRESS MONTE BIANCO ;9276341; 2016-01-05 22:37 ; 2016-01-04 18:15 ; Malta ; Porta-contentores ; GARLAND NAVEGACAO,LDA. ; VALENCIA ; LEIXOES ; 14 - CARGA/DESCARGA ; 110 - TERM CONTENT ALCANTARA /  LISCONT ; Estrada Manuel Correia Lopes nº 682 ; +351 21 444 81 70 ; ops.lis@garland.pt ; 9HA3446 ;6434;0; 133.58 ; 6.9 ; MTMLA ; NORBULK SHIPPING UK LTD ;;310;0;8496; 19.4 ;0;1; CS ; Wed Jan 01 00:00:00 GMT 2003 ;0
 LIS201600016 ;" """"04012016000016"""" "; MSC SHANNON ;8913423; 2016-01-05 23:04 ; 2016-01-05 11:24 ; Panama ; Porta-contentores ; MEDITERRANEAN SHIPPING CO.(PORT) SA ; ANTWERPEN ; AGADIR ; 1 - ABASTECIMENTO DE COMBUSTIVEL ; 805_FUNDEADOURO QUADRO CENTRAL ; Avª Arqto Fernando Távora, 1190 ;210732776; PT083-OPSLIS@msc.com ; HPRY ;37071;0;237; 10.5 ; PAPTY ; MSC SHIPMANAGEMENT LTD ;;310;0;47120; 32.2 ;0;1; CS ; 1991-11-01 00:00:00.0 ;3005
 LIS201600014 ;" """"04012016000014"""" "; KARINA C ;9558000; 2016-01-05 23:47 ; 2016-01-04 20:17 ; Reino Unido ; Carga Geral single deck ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; GRUNDARTANGI ; ALGECIRAS ; 1 - ABASTECIMENTO DE COMBUSTIVEL ; 805_FUNDEADOURO QUADRO CENTRAL ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; 2DMS9 ;4151;0; 106.07 ; 6.65 ; GBCOW ; CARISBROOKE SHIPPING LTD ;;335;0;6750; 15.5 ;0;1; C69 ; Tue Aug 03 00:00:00 GMT 2010 ;0
 LIS201502727 ;" """"04012015002731"""" "; UMM AD DALKH ;9522922; 2016-01-06 09:18 ; 2016-01-05 23:52 ; Liberia ; Graneleiro ; OREY COMERCIO NAVEGACAO,SA ; VISAKHAPATNAM ; HAMBURG ; 1 - ABASTECIMENTO DE COMBUSTIVEL ; 805_FUNDEADOURO QUADRO CENTRAL ; Rua Castilho , 14 – 4º ;210958272; lisboa@orey-shipping.com ; A8XK7 ;22668;0; 186.4 ; 10.8 ; LRMLW ; UMM AD DALKH SHIPPING ;;202;0;36490; 27.83 ;0;1; CS ; 2011-01-01 00:00:00.0 ;0
 LIS201502677 ;" """"04012015002681"""" "; CONMAR HAWK ;9244207; 2016-01-06 17:23 ; 2016-01-03 08:37 ; Reino Unido ; Porta-contentores ; K LINE (PORTUGAL) AGENTES NAVEGACAOSA ; FELIXSTOWE ; LEIXOES ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; Estrada Manuel Correia Lopes, nº 682 Conceição da Abóboda ;; kline.lis@klineportugal.com ; VQGH9 ;6191;0; 132.54 ;7; GBLON ; CONMAR SHIPPING GMBH & CO. ;;310;3075;8000; 19.2 ;18;1; CS ; 2002-01-01 00:00:00.0 ;0
 LIS201600002 ;" """"04012016000002"""" "; EPIC CALEDONIA ;9698290; 2016-01-06 21:23 ; 2016-01-05 13:24 ; Singapura ; Tanque Gás Liquefeito ; PINTO BASTO IV-SERVICOS MARITIMOS,LDA ; SINES ; FAWLEY ; 50 - DESCARGA NAVIO TANQUE IMDG CLASSES 2, 6 OU 8 ; 505 - TERM COMB  OZ /PORTO BUCHOS ; AV 24 DE JULHO 1-D ;269862598; agency.sines@pintobasto.com ; 9V2516 ;3591;0;95; 5.6 ; SGSIN ; EPIC CALEDONIA PTE LTD ;;103;0;3719; 15.96 ;0;1; CS ; undefined ;0
 LIS201502671 ;" """"04012015002675"""" "; FAR SAGARIS ;9417828; 2016-01-06 22:49 ; 2015-12-19 10:12 ; ISLE of MAN ; Rebocador ; WILHELMSEN SHIPS SERVICE PORTUGAL, S.A. ; ALTO  MAR ; ALESUND ; 21 - ESTACIONAMENTO EM CAIS ; 120 - CAIS DA ROCHA/TERMINAL DE PASSAGEIROS ; R.FRADESSO DA SILVEIRA, 2 - 2ºA ; 213 210 900 ; wss.lisbon@wilhelmsen.com ; 2CQX9 ;6107;0; 87.4 ; 7.8 ; IMDGS ; Farstad Shipping Ltd ;;431;0;3900;21;0;1; CA ; 2009-03-15 00:00:00.0 ;0
 LIS201600022 ;" """"04012016000022"""" "; GUNDEM MAKBULE ;9520388; 2016-01-07 12:22 ; 2016-01-06 12:56 ; Panama ; Carga Geral single deck ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; RAVENNA ; BROMBOROUGH DOCK ; 1 - ABASTECIMENTO DE COMBUSTIVEL ; 805_FUNDEADOURO QUADRO CENTRAL ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; 3FDA6 ;2976;0; 93.62 ; 5.8 ; PAPTY ; GUNDEM DENIZCILIK TICARET ;;335;0;4342; 14.55 ;0;1; CS ; Fri Feb 06 00:00:00 GMT 2009 ;0
 LIS201502687 ;" """"04012015002691"""" "; NILEDUTCH DORDRECHT ;9612777; 2016-01-07 13:03 ; 2015-12-31 11:55 ; Holanda ; Porta-contentores ; MARMEDSA - AGENCIA MARITIMA, LDA ; TANGER MED ; LEIXOES ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; Av. D. João II - nº. 51 – Piso 2 – Sala C Edificio Art’s – Parque das Nações ;269869190; opsptlis@marmedsa.com ; PBFG ;39106;0; 223.91 ; 9.75 ; NLRTM ; NILEDUTCH DORDRECHT BV ;;310;0;46000; 34.8 ;0;1; CA ; 2015-01-01 00:00:00.0 ;0
 LIS201502639 ;" """"04012015002643"""" "; BUTES ;9409637; 2016-01-07 13:35 ; 2015-12-31 16:29 ; Liberia ; Carga Geral single deck ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; SETUBAL ; MARCHWOOD ; 18 - DESCARGA ; 705 - TERM GRANEIS ATLANPORT/BARREIRO ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; A8UR6 ;2452;0; 87.84 ; 5.5 ; LRMLW ; BUTES SCHIFFAHRTS GERMANY ;;335;0;3686; 12.8 ;0;1; CA ; Tue Mar 30 00:00:00 GMT 2010 ;0
 LIS201600027 ;" """"04012016000027"""" "; STAR FIRST ;9330056; 2016-01-07 17:28 ; 2016-01-07 00:36 ; Liberia ; Porta-contentores ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; BREMERHAVEN ; PUERTO ALMIRANTE (ALMIRANTE) ; 1 - ABASTECIMENTO DE COMBUSTIVEL ; 805_FUNDEADOURO QUADRO CENTRAL ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; D5GN9 ;14030;0; 162.5 ; 10.2 ; LRMLW ; STAR REEFERS POOL INC ;;310;6724;13202;26;0;1; CS ; 2006-03-31 00:00:00.0 ;0
 LIS201502726 ;" """"04012015002730"""" "; MUSIC ;9328053; 2016-01-07 18:01 ; 2016-01-05 15:08 ; Portugal ; Porta-contentores ; GARLAND NAVEGACAO,LDA. ; ROTTERDAM ; LEIXOES ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; Estrada Manuel Correia Lopes nº 682 ; +351 21 444 81 70 ; ops.lis@garland.pt ; CQBO ;7852;0; 140.64 ;7; PTM6E ; Messrs Music Schiffahrtsgesselschaft mBH, ;;310;0;9322;22;0;1; C69 ; Mon Jan 01 00:00:00 GMT 2007 ;803
 LIS201600013 ;" """"04012016000013"""" "; CONMAR FJORD ;9244192; 2016-01-08 01:25 ; 2016-01-07 07:00 ; Portugal ; Carga Geral single deck ; K LINE (PORTUGAL) AGENTES NAVEGACAOSA ; FELIXSTOWE ; LEIXOES ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; Estrada Manuel Correia Lopes, nº 682 Conceição da Abóboda ;; kline.lis@klineportugal.com ; VSZP7 ;6191;0; 132.6 ;7; PTM6E ; CONMAR SHIPPING GMBH & CO. ;;335;3075;8081; 19.2 ;18;1; CS ; Tue Oct 01 00:00:00 GMT 2002 ;0
 LIS201502706 ;" """"04012015002710"""" "; MONTE BRASIL ;9083055; 2016-01-08 15:54 ; 2015-12-31 07:11 ; Portugal ; Porta-contentores ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; CANIÇAL ; CANIÇAL ; 14 - CARGA/DESCARGA ; 264 - TERMINAL MULTIPURPOSE DE LISBOA ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; CSEM ;7039;0; 126.12 ;6; PTM6E ; TRANSINSULAR ;;310;3870;8450; 19.4 ;0;4; CS ; Sat Jan 01 00:00:00 GMT 1994 ;0
 LIS201502625 ;" """"04012015002629"""" "; WIGEON ;9358395; 2016-01-08 18:11 ; 2015-12-28 09:15 ; Liberia ; Graneleiro ; CINTIA NAVE-AFRET. MARITIMOS,LDA ; PIRAEUS ; MONTREAL, QU ; 18 - DESCARGA ; 540 - TERM GRANEIS SOVENA/PALENÇA ; R. CARLOS MARDEL, Nº5 - 1º ;218439002; cintia.nave@mail.telepac.pt ; D5HD9 ;22790;0; 199.9 ; 9.9 ; LRMLW ; Oryx Shipmanagement Inc ;;202;0;37238; 23.7 ;0;1;; 2007-11-28 00:00:00.0 ;0
 LIS201502707 ;" """"04012015002711"""" "; PONTA DO SOL ;9141613; 2016-01-08 20:06 ; 2015-12-31 09:46 ; Portugal ; Porta-contentores ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; PONTA DELGADA ; PONTA DELGADA ; 14 - CARGA/DESCARGA ; 264 - TERMINAL MULTIPURPOSE DE LISBOA ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; CSCR ;4115;0; 100.62 ;6; PTM6E ; TRANSINSULAR ;;310;2005;5184; 16.2 ;15;1; CS ; Sat Mar 01 00:00:00 GMT 1997 ;0
 LIS201600019 ;" """"04012016000019"""" "; CORVO ;9381275; 2016-01-08 23:43 ; 2016-01-05 23:00 ; Portugal ; Porta-contentores ; BENSAUDE-AGENTES DE NAVEGACAO LDA ; PONTA DELGADA ; PONTA DELGADA ; 14 - CARGA/DESCARGA ; 265 - TERM CONTENT STª APOLONIA/SOTAGUS ; Praça Europa, nº2  Cais do Sodré ;3,51E+11; pedro.cardoso@bensaude.pt ; CSBH ;7064;0; 119.9 ; 7.2 ; PTPDL ; MUTUALISTA ACOREANA DE TRANSPORTES MARITIMOS,SA ;;310;0;9000;20;16;1; CS ; Tue Jan 23 00:00:00 GMT 2007 ;410
 LIS201502722 ;" """"04012015002726"""" "; TERA ;8411566; 2016-01-09 08:06 ; 2016-01-01 07:54 ; Congo (Rep. Democratica) ; Misto - Carga geral / Contentores ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; GENOVA ; GHAZAOUET ; 13 - CARGA ; 120 - CAIS DA ROCHA/TERMINAL DE PASSAGEIROS ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; 9OAH ;1861;0; 91.01 ;3; CDMAT ; SOLID NAVIGATION INC ;;339;1024;3035; 11.31 ;12;1; CS ; 1985-04-15 00:00:00.0 ;67
 LIS201502719 ;" """"04012015002722"""" "; ARAGONITH ;9164081; 2016-01-09 13:06 ; 2016-01-07 07:38 ; Chipre ; Tanque Químico ; OREY COMERCIO NAVEGACAO,SA ; AVEIRO ; AVEIRO ; 18 - DESCARGA ; 800_FUNDEADOURO MAR DA PALHA ; Rua Castilho , 14 – 4º ;210958272; lisboa@orey-shipping.com ; 5BGX4 ;3218;0; 92.6 ; 6.2 ; CYLMS ; LAKE VIEW SHIPPING CO. LTD. ;;102;0;4482; 15.33 ;0;1; CS ; undefined ;0
 LIS201600009 ;" """"04012016000009"""" "; RIX FLEVO ;9139335; 2016-01-09 17:20 ; 2016-01-06 23:56 ; Letonia ; Carga Geral single deck ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; PALMEIRA ; SEVILLA ; 13 - CARGA ; 300 - CAIS DO POÇO DO BISPO / TMPB ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; YLKR ;2901;0;88;5; LVRIX ; AFANTANA SERVICES LTD ;;335;1533;4515; 13.6 ;11;1; CA ; 1996-01-01 00:00:00.0 ;198
 LIS201502720 ;" """"04012015002723"""" "; X-PRESS VESUVIO ;9328651; 2016-01-09 20:05 ; 2016-01-09 05:25 ; Malta ; Porta-contentores ; GARLAND NAVEGACAO,LDA. ; CASABLANCA ; LEIXOES ; 14 - CARGA/DESCARGA ; 110 - TERM CONTENT ALCANTARA /  LISCONT ; Estrada Manuel Correia Lopes nº 682 ; +351 21 444 81 70 ; ops.lis@garland.pt ; 9HA3961 ;6454;0; 133.6 ; 7.7 ; MTMLA ; TAGLIN PRIVATE LIMITED ;;310;3218;8500; 19.4 ; 17.5 ;1; CA ; Sat Jan 01 00:00:00 GMT 2005 ;0
